Usuario,Fecha,Actividad Física,Dieta y Nutrición,Descanso o Recuperación,Desarrollo Personal,Puntos
ThaKloK,2024-11-05,True,True,True,True,4
Kapped,2024-11-05,True,True,False,True,3
Guts,2024-11-05,True,True,True,True,4
ThaKloK,2024-11-06,False,True,True,True,3
Rafael,2024-11-06,True,True,True,True,4
Rafael,2024-11-05,True,True,False,True,3
Kapped,2024-11-06,True,True,True,True,4
Guts,2024-11-06,True,True,True,True,4
Antonio,2024-11-06,True,True,True,True,4
Antonio,2024-11-05,True,True,True,True,4
Kapped,2024-11-07,True,True,True,False,3
ThaKloK,2024-11-07,True,True,True,True,4
Rafael,2024-11-07,False,True,True,True,3
Martin,2024-11-05,True,True,True,False,3
Martin,2024-11-06,True,False,True,False,2
Martin,2024-11-07,True,False,True,True,3
Antonio,2024-11-07,False,True,True,True,3
Kapped,2024-11-08,True,True,True,False,3
ThaKloK,2024-11-08,False,True,True,True,3
Antonio,2024-11-08,False,True,True,True,3
Kapped,2024-11-09,True,True,True,False,3
Antonio,2024-11-09,False,False,True,True,2
Antonio,2024-11-10,False,True,True,True,3
Kapped,2024-11-10,True,True,True,False,3
Rafael,2024-11-10,False,False,True,True,2
Rafael,2024-11-09,False,False,True,True,2
Rafael,2024-11-08,True,False,True,True,3
ThaKloK,2024-11-10,True,True,True,True,4
Guts,2024-11-07,True,True,True,True,4
Martin,2024-11-09,True,False,True,True,3
Martin,2024-11-10,True,False,True,True,3
Martin,2024-11-08,True,False,True,True,3
Guts,2024-11-08,True,True,True,True,4
Guts,2024-11-09,False,False,True,True,2
Guts,2024-11-10,False,False,True,True,2
Antonio,2024-11-11,True,True,True,True,4
Kapped,2024-11-11,True,True,True,True,4
ThaKloK,2024-11-11,True,True,True,True,4
Rafael,2024-11-11,True,True,True,True,4
ThaKloK,2024-11-12,True,True,True,True,4
ThaKloK,2024-11-09,False,True,True,True,3
Rafael,2024-11-12,True,True,True,True,4
Antonio,2024-11-12,True,True,True,True,4
Antonio,2024-11-13,True,False,True,False,2
Kapped,2024-11-12,True,True,True,False,3
Guts,2024-11-11,True,True,True,True,4
Guts,2024-11-12,True,True,True,True,4
Rafael,2024-11-13,True,False,True,True,3
ThaKloK,2024-11-13,False,True,True,True,3
Guts,2024-11-13,True,True,True,True,4
Kapped,2024-11-13,True,True,True,False,3
